id,domain,subdomain,technology,substrate_type,primary_dependencies,invention_year,invention_year_defense,us_commercial_launch_year,us_commercial_launch_defense,delta_years,fundamental_scaling_metric,recommended_us_adoption_metric,denominator,t10_years,t25_years,t50_years,t75_years,peak_adoption_or_current_status,source_count,confidence,notes
"immune_system/modern_hospital_systems","Immune_System","Care_Delivery","Modern Hospital Systems","Hard","immune_system/municipal_sanitation;immune_system/water_filtration_and_chlorination;metabolism/electricity","1946","1946 is the strongest practical invention boundary for the modern U.S. hospital-system substrate because Hill-Burton created a coordinated federal-state program to survey, finance, and build a nationwide acute-care hospital network.","1946","1946 is also the clearest U.S. public-deployment boundary because Hill-Burton immediately authorized grants to states for hospital and public health center construction rather than merely studying the problem.","0","Cost per adjusted patient day or staffed bed-day delivered.","Share of U.S. population with access to community hospital beds (per 1,000 population), with staffed acute-care hospital admissions or discharges as supporting series.","Population","","","","","Core care-delivery substrate for inpatient acute medicine, trauma, surgery, and advanced diagnostics, though bed intensity and organizational form have shifted over time.","4","medium","This row is intentionally scoped to the post-1946 modern hospital network and not to earlier almshouses, charitable hospitals, or one-off specialty institutions. Tier 1 diffusion attempt deferred because hospital-capacity series shift across bed definitions, community-hospital scope, and system consolidation, making one clean national threshold run unstable."
"immune_system/municipal_sanitation","Immune_System","Sanitation","Municipal Sanitation","Hard","","1855","1855 is the best current practical invention boundary because Chicago created its Board of Sewerage Commissioners and commissioned what contemporary city histories describe as the first comprehensive underground sewer plan in the United States.","1856","1856 is the stronger U.S. public-deployment boundary because construction of Chicago's comprehensive sewer system had begun, meaning municipalities were utilizing the technology in operating public works rather than only planning it.","1","Cost per capita served or per million gallons collected and treated.","Share of the U.S. urban population served by municipal sewerage and related sanitation systems.","Population","4","24","44","64","Municipal sanitation is a persistent public-health substrate with near-universal expectation in dense urban areas.","9","medium","This row currently centers sewerage; treated-water milestones may later split into a separate substrate. Diffusion milestones use the estimated percentage of the U.S. urban population served by sewers (Joel Tarr / National Research Council)."
"immune_system/public_health_surveillance","Immune_System","Surveillance","Public Health Surveillance","Soft","nervous_system/telegraph;nervous_system/telephone","1878","1878 is the strongest practical invention boundary because Congress authorized federal collection and publication of morbidity reports, creating the first precursor of recurring U.S. disease surveillance.","1893","1893 is the clearest U.S. public-deployment boundary because weekly collection from state and municipal authorities established a broader operating surveillance network rather than a narrower quarantine bulletin.","15","Cost per capita covered or per reportable event processed.","Share of the U.S. population covered by nationally notifiable disease surveillance and reporting systems.","Population","","","","","Core coordination substrate for outbreak detection, immunization targeting, public-health response, and routine epidemiological monitoring.","3","medium","Centers recurring surveillance infrastructure rather than one publication title such as MMWR; 1925 remains the milestone when all states were reporting regularly. Tier 1 diffusion attempt deferred because no single national population-coverage series runs cleanly from the 1878-1893 launch era through the mature notifiable-disease system."
"immune_system/vaccination_infrastructure","Immune_System","Immunization","Vaccination Infrastructure","Soft","immune_system/public_health_surveillance;vascular/refrigerated_logistics_cold_chain","1962","1962 is the strongest current invention boundary because the Vaccination Assistance Act and the CDC Immunization Assistance Grant Program created a recurring national framework for delivery infrastructure rather than isolated vaccine campaigns.","1962","1962 is the better launch year because the Immunization Assistance Grant Program was established and administered through project grants that year, making the infrastructure available to state and local public-health systems immediately.","0","Cost per fully immunized person.","Coverage rate for universally recommended childhood vaccination schedules.","Population","0","0","0","8","Core public-health substrate, though confidence, uptake, and governance remain uneven across place and period.","7","medium","National infrastructure boundary starts in 1962; earlier local programs are treated as precursors. Diffusion milestones use the childhood DTP (3+ doses) coverage series as a proxy for national infrastructure reach; because coverage was already ~68% at the 1962 launch, T10-T50 are recorded as 0 years."
"immune_system/water_filtration_and_chlorination","Immune_System","Water","Water Filtration and Chlorination","Hard","immune_system/municipal_sanitation","1908","1908 is the strongest practical invention boundary for the modern U.S. treated-water substrate because routine chlorination completed a scalable filtration-plus-disinfection regime rather than a filtration-only precursor.","1908","1908 is the clearest U.S. public-deployment boundary because Jersey City began routine community-water chlorination that year and the model rapidly spread across municipal systems.","0","Cost per million gallons treated.","Share of the U.S. population served by filtered and disinfected community water systems.","Population","","","","","Core public-health substrate and baseline expectation for municipal drinking water in the modern United States.","3","medium","Earlier filtration-only milestones remain important precursors, but 1908 is used to represent the modern U.S. treated-water regime centered on routine disinfection. Tier 1 diffusion attempt deferred because the strongest national series mix filtration, chlorination, and community-water coverage without one continuous treated-population threshold series."
"metabolism/bessemer_steel","Metabolism","Materials","Bessemer Steel","Hard","","1856","Henry Bessemer's 1856 converter announcement is the standard practical invention boundary because it demonstrated a repeatable process for mass steelmaking.","1865","1865 is the clearest U.S. commercial launch because the first successful U.S. Bessemer steel works began producing saleable steel in that period.","9","Cost per ton of steel.","Tons of U.S. steel output produced with the Bessemer process or Bessemer-era steel rail output.","Volume","","","","","The Bessemer process itself was superseded, but low-cost steel remained a permanent civilizational substrate.","3","medium","1864 versus 1865 remains a minor normalization question for U.S. launch. Tier 1 diffusion attempt deferred because the Bessemer process was later superseded, so any threshold series is unstable between process adoption and the broader steel substrate it enabled."
"metabolism/electric_grid","Metabolism","Power","Electric Grid","Hard","metabolism/electricity","1882","Pearl Street Station is the most defensible invention boundary for the electric grid because it combined central generation, local distribution, meters, and paying end users in one practical urban system.","1882","The same Pearl Street deployment also marks the first clear U.S. commercial launch of the grid as a purchasable service network.","0","Cost per delivered kWh over networked transmission and distribution.","Share of U.S. households or customers connected to central-station electric service.","Households","28","38","43","58","Near-universal infrastructure dependency; most other modern substrates assume reliable grid access.","3","high","Uses Pearl Street for both invention and T0 because practical grid and commercial service coincide. Diffusion milestones use the percentage of U.S. dwelling units with electric service from Historical Statistics of the United States (Series S 108-119)."
"metabolism/electricity","Metabolism","Power","Electricity","Hard","","1831","Michael Faraday's demonstration of electromagnetic induction in 1831 created the first practical path to generating electricity mechanically rather than treating it only as a laboratory phenomenon.","1882","Pearl Street Station in lower Manhattan is the clearest defensible U.S. commercial launch because it sold centrally generated electricity to paying customers at city scale.","51","Cost per kWh delivered.","Retail electricity sales per capita, with household electrification used as a diffusion proxy where needed.","Population","28","38","43","58","Effectively universal dependency across U.S. households, firms, and public infrastructure.","7","medium","Scope intentionally separated from electric_grid; invention boundary may tighten to a practical dynamo milestone. Diffusion milestones use the percentage of U.S. dwelling units with electric service from Historical Statistics of the United States (Series S 108-119), which serves as the primary diffusion proxy for the electricity substrate."
"metabolism/internal_combustion_engine","Metabolism","Engines","Internal Combustion Engine","Hard","metabolism/oil_refining","1876","Nikolaus Otto's 1876 four-stroke engine is the cleanest practical invention boundary because it was the first reliable internal-combustion engine that became an immediate commercial alternative to steam power.","1885","1885 is the strongest current U.S. commercial launch year because Otto-licensed engines were being built and sold in the United States by then, establishing a real American market for practical internal-combustion prime movers before the later auto boom.","9","Cost per horsepower-hour delivered.","Share of U.S. freight ton-miles or vehicle-miles powered by internal-combustion engines, with engine shipments as a supporting early series.","Volume","","","","","Still a foundational power plant for road freight, aviation, construction equipment, and backup power despite electrification pressure.","3","medium","Uses the early U.S. stationary-engine market rather than vehicle commercialization as canonical T0; later automotive and diesel milestones remain downstream expansions of the substrate. Tier 1 diffusion attempt deferred because no single national direct-adoption series spans stationary engines, road vehicles, farm machinery, aviation, and other internal-combustion uses without a disputed proxy choice."
"metabolism/nuclear_power","Metabolism","Power","Nuclear Power","Hard","metabolism/electric_grid","1951","1951 is the cleanest practical invention boundary because EBR-I produced the first usable electricity from nuclear fission, demonstrating nuclear power as a working electricity-generating technology rather than a weapons-only reactor program.","1957","1957 is the strongest U.S. commercial launch year because Shippingport began operation as the first full-scale nuclear power plant serving utility customers rather than functioning only as an experimental reactor.","6","Cost per kWh delivered.","Share of U.S. electricity generation produced by nuclear power, with installed nuclear generating capacity as a supporting series.","Volume","","","","","Major zero-carbon baseload substrate with enduring importance to the U.S. grid, though expansion has been slower and more contested than earlier expectations.","4","high","Uses 1951 for first usable nuclear electricity and 1957 for commercial grid service; the 1954 Atomic Energy Act remains the key civilian-commercial precursor. Tier 1 diffusion attempt deferred because generation-share series are strong, but the practical saturation ceiling for nuclear power remains too policy-contingent for a clean threshold interpretation in Round 1."
